RainTomorrow,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday
No,12.5,19.5,10.8,5.4,7.3,E,33,W,ESE,17,24,88,54,1026.5,1023.9,7,6,14.7,18.1,Yes
Yes,4.2,22.7,0,2,9.2,NNW,31,NNE,WNW,15,13,46,33,1018.6,1014.8,1,3,12.2,21.4,No
Yes,25,31.9,0.2,11,9.9,E,43,ESE,ENE,17,30,62,59,1013.8,1011,3,3,29.5,30.8,No
Yes,8,11.6,0,2.2,0,WSW,48,WNW,SW,28,20,71,76,1015.5,1013.6,8,8,9.3,11.1,No
Yes,5.9,11.7,25.2,0.6,5.4,SW,61,SW,SW,31,37,67,79,1007.4,1010.4,7,6,9.3,7.6,Yes
No,13.9,19.3,20.4,1.8,2.6,W,31,W,NW,15,2,92,79,1019.9,1016.1,7,5,14.6,17.6,Yes
No,13.7,18.6,0.8,5.4,6.9,S,39,S,SSE,17,20,76,50,1025.4,1023.7,7,6,16.1,17.5,No
Yes,23.4,30.5,14.4,5.8,1.9,WNW,56,W,W,28,28,82,82,1005,1002.2,7,7,28.3,28.4,Yes
No,19.5,32.6,0,9.2,13.4,NNE,39,NNE,NNW,30,7,58,35,1018.2,1015.2,1,1,22.9,30.2,No
Yes,17.1,19.5,0,4.8,1.6,E,35,S,ESE,19,17,61,65,1016.7,1014.3,7,8,19.4,16.1,No
No,16.2,26.2,0,6,9,SSW,43,NNE,NE,19,19,65,58,1017.3,1013.9,7,5,21.2,24.6,No
No,13.3,21.1,0,3.8,10.1,ENE,37,WNW,NE,9,24,80,53,1018.5,1015,1,5,16.7,19.9,No
Yes,11.4,12.3,3.4,1.2,0.3,S,46,S,SSW,26,20,91,82,1012,1017.1,8,8,12.2,10.5,Yes
No,14.9,25.2,0,5.6,12.7,NNE,50,N,NE,13,35,57,58,1021.6,1018,1,1,23,24,No
No,15.6,19.9,0.2,2.6,7.8,ENE,61,ENE,ENE,33,39,73,69,1022.1,1020.3,6,5,17.5,18.7,No
Yes,18.6,30.4,0,9,6,SSE,35,S,NE,13,13,58,54,1013.2,1009.9,8,8,26.2,29,No
Yes,8.8,30.2,0,7.6,10.8,NNW,54,NE,N,13,30,52,26,1015.4,1008.9,4,6,17.2,27.6,No
No,14.9,21.7,1.8,2.4,7.8,SW,54,WSW,SSW,19,31,64,52,1009.6,1008.9,6,5,18.1,20.6,Yes
No,10,24.9,0,5,9.3,ENE,35,E,ESE,20,17,49,29,1026.2,1020.5,4,6,16.8,23.7,No
No,7.4,17.3,0,3.8,9.8,W,50,WSW,WSW,28,33,51,37,1012.2,1011,1,1,11.7,16,No
No,8.3,20.3,0.2,2.8,8.1,W,35,W,ESE,19,6,87,44,1032.3,1030.7,3,2,10.1,18.9,No
No,13.5,26.5,0,2.2,10.8,WSW,35,WNW,WNW,15,13,68,31,1016.3,1011.7,2,3,16.7,26.1,No
Yes,7.8,18.1,7.8,1,2,N,30,NNE,N,11,11,82,86,1021.6,1018.3,7,7,11.8,15,Yes
No,16.2,24.1,0,3.4,2.8,SSE,43,W,S,9,15,62,71,1011.9,1011,7,7,20.1,19.6,No
Yes,25.2,29.4,7.2,3.6,0.8,W,41,W,W,17,13,86,91,1008.8,1006.4,7,8,27.1,25.8,Yes
No,8.2,30.7,0,7.8,13.5,SW,33,ENE,S,13,19,52,16,1012.9,1008.3,1,3,18.9,29.4,No
No,13.3,19.2,11.2,2.6,6.4,ENE,41,E,ENE,19,26,79,68,1029.5,1027.1,5,3,16.9,18.3,Yes
No,12.1,19.6,0,3.8,9,S,33,SSE,ESE,7,19,67,52,1012.8,1011.1,7,6,13.8,17.1,No
Yes,15,31.9,0,6.2,11.6,WNW,46,NNE,NW,20,17,47,68,1014.3,1012.2,3,4,24.7,22.3,No
Yes,13.7,24.8,0.2,7.4,4.6,W,56,NNW,NNW,6,30,50,31,1007.4,1004,7,7,19.8,22.9,No
Yes,20.7,26.1,1.4,5.4,8.2,E,41,ESE,ESE,20,22,87,85,1006,1005.7,7,6,23.8,23.9,Yes
Yes,14.2,16.4,11.6,0.6,0,S,72,NE,S,11,35,94,93,1011.3,1009.6,8,8,14.4,13,Yes
No,13.7,22.1,0,13.4,11.2,SW,41,W,E,15,22,30,43,1025.8,1025.1,2,2,17.9,19.7,No
No,7.4,24,0,2.2,10.6,ENE,22,ENE,NW,7,6,74,33,1022.3,1020.4,1,1,14,23.7,No
No,14.6,34.4,0,4.4,10.6,S,72,NW,WNW,15,13,56,11,1015.9,1012.5,1,1,19.6,33.7,No
Yes,8.6,19.8,0.4,6.2,9.8,NNW,57,NW,WNW,17,20,42,28,994.9,994.6,5,4,12.9,19.6,No
No,10.5,25.9,0,5.6,5.3,NNE,33,NE,NE,4,9,70,50,1015.9,1012,1,7,19.2,25,No
Yes,10.1,18.7,2.8,3,0,ESE,19,SW,ESE,2,4,86,92,1029.6,1025.4,8,8,13.3,17.7,Yes
No,10.6,24,0,4,11.5,ENE,31,NE,NE,17,15,54,37,1020.5,1018.6,2,3,16.7,23.1,No
Yes,28.4,31.6,0,8.4,2.3,WNW,52,W,W,19,17,70,77,1008.5,1006.7,7,7,30.7,29.1,No
No,13.4,25.8,0,6.4,11.5,ENE,46,ENE,NE,24,19,58,47,1017.6,1013.1,7,3,17.4,24.9,No
No,1.3,11.9,0,1,1.5,NNW,22,E,NNW,7,13,91,66,1020.3,1016.7,7,7,5.5,11.5,No
No,10.7,21,0,2.8,3.2,NW,28,WNW,NW,9,11,76,34,1017.9,1015,7,2,12,20.5,No
Yes,25.7,37.5,0,8,11.5,E,50,ENE,N,24,15,64,16,1014.8,1009.1,1,1,30.1,36.8,No
No,17.5,28.7,0,9.8,1.5,NE,31,E,E,15,4,64,40,1009.3,1005,7,7,20.9,28.1,No
Yes,5.8,9.7,0,0.6,0,N,44,NNE,N,22,20,80,81,1013.8,1008.7,8,8,7.2,9.1,No
No,14.3,30.9,0.2,4,12.5,WSW,31,SSE,WSW,11,9,25,15,1017.8,1014.9,1,0,22.5,29.1,No
Yes,10.6,16.2,0.4,1.4,7,WNW,80,WNW,WNW,28,24,59,60,988.5,988.4,7,2,14.9,11.2,No
No,3,23.7,0,3.4,8.4,N,31,E,NW,13,17,58,17,1018.2,1013.7,6,6,12.5,23.3,No
No,17,29.8,0,8,11.9,E,41,ENE,E,20,19,53,25,1023.9,1021,0,1,20.9,28.9,No
Yes,15.7,18.9,0,8.4,0,SSW,54,N,NNW,31,26,36,88,1008.8,1008.2,8,8,18.3,13.5,No
Yes,14.7,22.7,0,5,8.9,NNE,52,ENE,NE,6,22,61,60,1021.9,1015.9,6,4,19.5,21.2,No
No,7.9,17.5,0,2,7.4,SSE,54,WNW,S,13,22,51,67,1016.1,1016.3,1,6,13.4,14.2,No
Yes,12.3,13.9,5.6,2,0.3,W,48,NNW,WNW,15,24,89,94,1004.5,1002.3,7,7,13,12.9,Yes
Yes,16.8,35,0,13.2,12.2,E,85,E,E,35,28,43,20,1016,1010.8,3,7,22.5,33.1,No
No,16.5,34.1,0,14.4,13.6,WSW,39,WNW,WSW,13,28,43,3,1011.7,1010.3,2,3,21.4,32.2,No
Yes,17.1,20.9,12.4,8,0.4,NE,44,NE,NNE,15,17,98,95,1015.1,1013.8,7,8,17.9,18.3,Yes
Yes,5.4,14.8,0.2,1.2,2.9,NNW,46,N,NNW,22,28,93,76,1003.2,999.8,7,5,9.5,14.5,No
No,11.4,23.9,0,6.4,11.6,NNE,46,W,NE,9,19,65,41,1024.9,1020.9,0,2,16.3,23.2,No
Yes,24.6,32.8,0,9.8,12.6,SE,37,SE,ESE,15,19,59,39,1016.4,1014.7,4,3,29.8,31.5,No
No,1.3,16.9,0,3,10.9,E,22,E,NE,11,9,78,44,1024.9,1020.7,0,1,8,16.5,No
No,2.9,18.3,0,2.2,10.9,NW,22,WNW,WSW,4,13,81,51,1023.6,1021.2,1,1,11.1,18,No
No,16.2,20.6,0,6.8,9.2,NW,74,NW,WNW,43,43,37,22,1002.7,1002.9,1,2,17.9,19.9,No
Yes,11.3,20,5.4,4.4,5.5,SW,41,W,WSW,9,13,78,75,1022.5,1021.1,6,5,16.1,17.8,Yes
No,17.3,21.6,0,4,4.8,ESE,33,E,SE,20,20,76,73,1019.6,1019.1,7,5,20.3,20.7,No
No,15.1,18.6,27.4,7.4,8.2,SE,56,S,S,30,26,58,45,1012.3,1013.1,3,1,17,17.6,Yes
No,21.9,40.1,0,11.4,12.2,NW,41,NE,NNW,11,24,32,13,1013.5,1009.1,1,3,29.4,38.8,No
Yes,26.2,34.3,0,11.4,9.9,NE,54,SW,NNW,4,17,58,58,1011.2,1007.4,2,3,31.1,32.4,No
Yes,24.9,32.7,0,4.6,6.7,NNE,30,SSE,W,13,9,68,87,1002.5,1000.6,2,8,30.7,27.3,No
No,13.5,21.5,0,6.4,10,W,56,WNW,W,22,31,36,27,1014.1,1012.6,0,0,16.9,20.5,No
Yes,9.7,19.2,0.8,7.6,4.1,WNW,69,N,NW,43,37,62,28,995.4,992,7,7,10.7,19.2,No
No,6.2,18,0,5.4,8.7,SW,52,WSW,WSW,28,33,53,38,1016.3,1013.8,1,4,13,17.2,No
No,4.6,23.2,0,3.8,11.2,NNW,31,NE,N,20,17,66,29,1018.4,1013.7,1,1,14.9,22.3,No
Yes,2.1,17.8,0,1.4,8.7,N,41,N,NNW,19,24,72,55,1022.1,1018.4,3,6,8.9,17.3,No
No,19.7,22.8,0.4,5.4,1.2,SE,54,SE,SE,30,28,83,82,1006.4,1006.9,7,7,21.6,22.1,No
No,16.9,20.5,0,1.8,2,NW,39,NW,NW,11,11,87,75,1016.7,1015.4,7,7,19.7,19.3,No
No,11.5,25.5,0,3.6,7.8,NW,26,E,W,7,13,68,29,1019.6,1017.1,7,5,16.2,25.2,No
No,4.7,20.5,0,3.8,11.3,WSW,28,ENE,WSW,11,13,73,41,1025.4,1021,1,2,13.4,20,No
Yes,3.8,15.4,0,1.8,9.5,W,74,W,NW,20,48,73,35,1008.6,1003.7,4,2,10.1,14.6,No
No,1.8,15.4,0,1,6.3,ENE,17,ESE,ENE,13,6,99,57,1031.4,1028.3,6,1,4.4,15,No
Yes,13.7,30.6,0,5,9,NW,57,N,NW,6,20,73,34,1015.3,1011.2,1,7,19.4,25.8,No
No,13.3,27.2,0,10.4,5,NE,43,ESE,E,17,20,36,28,1016.6,1013.6,5,7,19.9,26.4,No
Yes,20.8,30.4,0,5.2,11.2,ENE,39,SE,ENE,15,28,61,60,1017.2,1012.4,5,1,25.8,28.6,No
No,9.6,23,0,8,10.5,SW,65,WSW,SW,35,43,34,19,1013.1,1015.2,7,1,21.6,21.9,No
Yes,10.4,16,0,2,1,W,41,WNW,W,13,19,85,90,1015.1,1009.7,7,6,11.6,15.8,No
No,14.8,25.4,2,1.4,5.8,NNW,33,NW,NNW,13,11,68,43,1015.8,1013,7,7,18.7,24.8,Yes
No,14.4,21.7,0,3.8,9,ESE,46,SE,SE,33,31,41,49,1031.6,1032.1,6,4,19.6,20.4,No
Yes,8.4,14.1,0.8,0.8,0.2,SSE,44,SW,SSE,13,26,97,85,1014.9,1015.4,8,7,11.5,13.3,No
No,4.5,28.2,0,5,10.9,WNW,31,NW,NNW,20,13,53,10,1027.4,1021.5,1,3,16.9,27.9,No
Yes,7.8,20.9,0.2,2.4,10.2,WNW,33,NE,NW,9,17,74,42,1024.2,1020.7,1,2,13,19.8,No
No,4,19.2,0,3,2.9,SW,39,NE,SW,13,24,57,42,1018.5,1015.7,7,7,9.8,15.5,No
No,5.6,16.4,0,2.2,9.8,WNW,31,WNW,SW,24,17,70,44,1020.8,1018.4,1,1,9.5,15.6,No
Yes,12.3,16,0,2.8,0,N,37,N,NE,11,4,77,100,1023.3,1022,8,8,14.4,14.4,No
No,8.7,15.1,1.2,2.4,0.7,W,31,W,SW,24,11,86,71,1032.5,1030.5,7,7,9.9,13.9,Yes
Yes,7.2,10,0.6,0.6,0,SE,39,SSE,SE,15,22,84,84,1022.3,1020.6,8,8,9,9.5,No
No,17.7,25.5,0,5.6,12.4,E,37,S,E,13,24,59,48,1018.9,1016.5,4,1,21.1,24.3,No
Yes,9.8,13.6,8.8,2.8,3.9,WNW,44,SW,SW,13,22,85,82,1009.5,1010.2,8,8,11.4,11.9,Yes
No,14.1,19.2,0,4,2.4,SW,44,SSW,SW,22,26,60,61,1015.5,1014.4,7,7,16.8,17.7,No
No,14.6,22.2,0.2,4,10,W,50,W,ESE,22,13,47,25,1023.6,1023.2,1,1,17.2,21.1,No
No,19.9,24.8,0,6.6,0.2,ESE,35,ENE,E,15,24,68,64,1021.1,1020.2,7,7,22,23.2,No
Yes,26.6,31.5,2.4,13.2,3.8,ENE,46,SE,ENE,13,30,78,64,1009.8,1008.1,6,7,28.7,30.7,Yes
Yes,7.2,16.2,0,1.6,4,ENE,43,ENE,N,22,13,75,90,1015.2,1013.1,6,8,12.1,11.6,No
Yes,14.6,18.6,37.4,7.4,0.1,SSE,50,SSE,SSE,28,35,97,85,1016.7,1020,8,8,14.7,17.1,Yes
Yes,4.4,12.5,0,0.6,0.2,N,35,NNW,N,9,15,86,64,1014.5,1009.2,8,8,7.5,12.3,No
No,9.8,27.5,0,9.2,13.7,NE,28,ENE,SW,17,9,37,19,1021.8,1018.6,1,1,17.6,26.1,No
No,20.7,29.1,0,10.2,11.8,ESE,39,SSW,ESE,13,20,73,43,1011.7,1010,5,6,24.5,28.6,No
No,13.4,19.3,7,3.8,5.6,S,39,SSE,SSE,20,22,92,57,1019.1,1016.5,8,5,13.9,19.3,Yes
No,14.1,26.6,0.8,2.8,10.4,NW,39,NE,NNW,20,19,77,51,1014.2,1008.5,6,2,18.8,26.1,No
Yes,6.6,11.1,2.2,3.4,5.9,W,57,W,WNW,19,20,65,66,1004.6,1008.7,3,7,7.9,9,Yes
Yes,5.9,10.1,0,2,1.3,NNW,54,NNW,NNW,28,30,68,89,1013.6,1008.9,6,8,8.1,9.4,No
No,19.1,31.2,0,18.4,10.1,NE,31,NE,NE,19,13,77,41,1019.7,1015.9,1,5,22.3,30.7,No
No,10.4,19.1,0,4,9,SSW,56,WNW,S,13,31,49,57,1017.6,1016.2,1,1,15.8,19,No
Yes,16.3,35.8,0,10,10,NW,50,N,W,17,24,44,22,1013.4,1007.9,1,4,27.9,34.2,No
Yes,17.3,20.5,57,7.2,2.3,S,43,SSE,SSW,17,6,95,92,1013.3,1013.5,8,7,17.9,18.2,Yes
No,6,19.2,0.6,1.4,9.9,WSW,22,SW,WSW,9,13,95,54,1019,1015.4,1,1,10.6,18.9,No
No,9.2,17.7,0,3.8,9.7,S,44,SW,SSW,22,22,48,43,1023.5,1020.4,1,3,14.2,16.4,No
Yes,9.2,13.5,1.6,1.8,2.4,SSW,37,WSW,SSW,11,13,82,74,1030.3,1030.6,7,7,10.8,12.2,Yes
No,19.8,25.2,0,5.2,8.5,SSE,28,ESE,ESE,9,17,76,74,1014.2,1013.3,6,7,23.1,23.3,No
No,20.4,34.2,0.4,4.4,11.3,SSW,44,S,SSW,33,33,55,20,1011,1008.7,6,3,22.4,32.2,No
Yes,10,20.2,0,4,8.5,NNW,57,N,NNW,20,31,79,63,1001.5,1000.8,2,7,16.1,18.7,No
Yes,22,24.1,2,1.2,0.2,ENE,63,ENE,E,20,22,96,96,1001.7,999.9,8,8,22.8,23.2,Yes
Yes,26.2,33.3,0.2,6.8,3.9,SE,44,SE,ENE,22,17,63,70,1008.7,1004.9,7,7,29.4,30,No
No,17.8,24.7,0,9,11.8,S,37,S,SSE,19,24,62,57,1016.7,1014.5,6,2,21.1,23.8,No
No,8.4,16.6,0,6.2,10.8,WSW,56,WSW,WSW,26,22,43,26,1013.7,1011.9,1,1,10.7,15.4,No
No,20.4,24.7,0,6.4,12.5,SE,31,ESE,SE,17,17,66,60,1018.9,1015.7,1,1,23.7,23.7,No
Yes,24.2,30.6,29.2,9.8,4.3,SE,35,S,E,17,22,85,69,1012.5,1009.8,7,7,26.7,29.6,Yes
Yes,20.2,29.4,1.2,2,5,NNW,56,N,N,24,31,60,48,1017.4,1013.5,7,8,24.9,27.3,Yes
No,15.6,24.3,0.2,8.2,11.2,S,43,S,S,17,11,51,30,1020.2,1018,0,0,16.3,23.6,No
Yes,22.7,33.5,7.2,8,5.5,SSE,52,SSE,N,13,20,82,54,1008.7,1004.9,7,6,27.1,33.5,Yes
No,14.5,20.1,0,3.8,11.4,SSW,33,SSW,SW,17,26,63,51,1020.4,1019.8,2,1,18.9,18.8,No
No,19,28,0,4.6,12.6,E,24,WNW,ESE,11,17,68,54,1019.1,1017.9,2,1,23,27,No
No,11.6,24.9,0,2,10.2,NNE,24,NW,NE,11,17,63,61,1021.4,1016.9,0,1,20.4,24,No
Yes,-1.9,11.4,0,2.4,1.4,SW,46,ENE,W,7,13,96,61,1020.1,1015.9,7,6,2,10,No
Yes,20.4,24.1,0.6,4.2,0.2,SSE,41,S,SSE,20,28,78,72,1016.8,1014.9,7,8,22.6,23.2,No
No,9.8,34,0,8,9.7,NNE,48,E,ENE,11,6,55,17,1016.3,1012,5,6,19.4,32.6,No
Yes,16.1,23.8,0,6.6,1.9,ESE,44,S,SE,4,19,68,53,1015,1013,8,8,17,22.4,No
Yes,24.1,30.9,49.4,6,2.1,WSW,67,W,SW,17,22,84,78,1005,1000.7,8,7,27.4,28.2,Yes
Yes,15.3,18.4,13.4,3.4,0,S,56,SSE,SSE,31,41,75,86,1018.6,1015.6,7,7,18.4,16.6,Yes
No,22.8,31.4,0,7,9.3,S,59,WNW,SSE,7,20,76,85,1011.6,1010.2,6,4,27,26,No
Yes,10.9,21,0,3.6,9.6,SW,33,W,S,17,17,59,68,1023.9,1022.8,1,3,15.4,19.1,No
No,18.2,29.1,0,7,12.8,E,33,ENE,NE,15,15,50,27,1020.3,1019.6,0,1,20.9,28.1,No
Yes,6.3,17.5,1.2,3,7.1,NW,30,NE,WNW,6,15,71,49,1018.3,1014.4,7,5,10.5,16.5,Yes
Yes,12.6,19,5.6,7.6,4.3,W,41,W,SW,22,11,73,56,1012.6,1011.4,7,7,13.8,18.5,Yes
Yes,18.6,27.2,0,10.4,0.7,NW,50,N,WNW,22,28,71,62,1013.3,1014,8,8,22.5,23.5,No
Yes,19,26.6,0,3.4,4.5,NE,31,ESE,ENE,7,22,80,68,1017.3,1014.1,7,7,21.2,24.5,No
Yes,7.3,18.3,0.2,2.2,4.1,WNW,30,NNE,NW,11,11,73,81,1018.8,1016.5,2,7,12.2,15.5,No
Yes,13.2,25.5,2,4.8,4.5,NNW,50,NNE,WNW,7,20,79,36,997.1,995.7,7,6,18.8,23.7,Yes
Yes,7.5,14.6,1.2,2.4,4,SW,35,WSW,SSW,19,22,87,64,1024.6,1024.8,7,8,11,13.1,Yes
No,15.4,21.3,5.6,2.2,3,WSW,28,SSW,SE,17,13,82,57,1028.6,1026,7,7,18.1,19.9,Yes
Yes,10.1,20.7,8.2,2.2,3.8,WSW,43,N,SW,13,31,97,68,1011.3,1011.2,7,3,16,18.9,Yes
No,16.1,22.5,0,6.2,12.5,SSE,35,E,E,22,20,64,64,1017.1,1015.1,3,4,20.6,20.3,No
Yes,5.7,13.7,1.4,1.2,5.9,W,52,NNW,WNW,19,22,97,88,1021.3,1020.6,7,7,9.6,12.9,Yes
Yes,24.8,29.2,20.8,10.2,0,SW,59,SW,W,17,17,98,95,1005.3,1002.4,8,8,24.8,25.7,Yes
No,19.6,35.9,0,11.8,12.4,ENE,54,NE,S,24,15,54,25,1013.6,1010,3,1,23.3,32.6,No
No,13.3,22.6,0,2.4,3.9,NNE,30,W,NE,7,13,85,72,1022.9,1019.4,7,7,15.1,19.4,No
Yes,23,30.2,0.2,6.8,10.3,NE,28,SSE,ENE,7,15,69,67,1014.7,1011.1,4,6,28.3,29.6,No
Yes,15.2,19.3,0,4,0,SE,43,SE,S,20,20,60,74,1018.3,1014.9,8,8,16,17.9,No
No,20.3,29.4,0.6,5.6,8.8,NE,37,N,ENE,4,20,85,59,1017,1014.8,7,3,22.4,26.4,No
Yes,10,19,12.8,1,5.4,NW,61,N,WNW,11,22,96,63,1014.8,1010.5,7,7,11.9,17.7,Yes
Yes,11.1,21.4,0,1.8,6.9,WSW,43,NW,NW,9,22,84,44,1009.4,1006.2,4,5,14.1,20.8,No
Yes,14.3,18.8,5.2,8.8,3.6,WSW,61,WNW,WSW,7,24,99,91,1008.3,1015.7,7,7,14.4,10.8,Yes
Yes,7.6,19.6,3.8,2,3,SE,67,S,SSE,31,30,81,77,1017.5,1018.3,6,6,16.9,17.4,Yes
No,21.7,30.3,0,13.8,0.9,S,33,SSE,SW,2,17,49,42,1009.9,1007.9,7,7,26.4,28.2,No
Yes,15.6,22.2,4.2,3.4,4,ESE,22,W,SSE,4,9,92,67,1026.8,1023.2,8,7,16.6,21.2,Yes
Yes,23.3,31.4,39.4,5.6,4.7,S,30,S,SE,13,20,74,66,1009.7,1007.2,6,7,28,29.8,Yes
No,20.8,24.3,0,7.8,1.3,SSW,43,SSE,SSW,7,11,72,68,1012,1011.2,6,7,23.1,24,No
Yes,16.3,24.7,12.4,1.2,0,NE,26,NE,W,13,9,94,77,1015.2,1013.6,8,8,17.6,24,Yes
Yes,27,34.8,1.8,7.6,5.9,E,56,WNW,WNW,9,24,67,61,1011.2,1007.7,7,7,31.1,33.8,Yes
No,21.6,35.3,0,14.2,12.2,NE,44,NNE,NE,28,11,59,27,1017.5,1013.3,1,6,25.2,33.8,No
Yes,21.8,38.9,0,9.8,5.5,N,69,ESE,NNW,15,20,60,25,1012.9,1010.8,0,5,26.5,37.2,No
Yes,19.8,27.1,24.4,8.6,9,ESE,35,SW,ESE,17,22,83,60,1018.9,1017.9,6,6,22,26,Yes
No,8.3,18.8,0,3.6,6.8,NNE,26,WNW,E,7,17,84,64,1029.8,1025.8,6,6,9.7,18.1,No
Yes,22,32.8,0,10,2.3,N,65,NNE,NNE,26,30,40,27,1013.3,1009.6,7,8,28,30.8,No
Yes,13.1,21.4,0,0.8,4.5,WNW,39,N,NW,9,13,66,72,1015.9,1013.2,7,7,16.1,21,No
Yes,19,22.8,4.8,3.8,12.5,SW,43,W,SW,19,30,71,70,1006.5,1005.9,1,2,21,21.2,Yes
Yes,13,16.7,3.2,5.6,0.8,NNE,48,NE,N,24,30,76,76,1008.5,1004.5,7,7,14.6,15.6,Yes
Yes,16.2,28.5,7.8,4.2,4.5,WSW,80,NE,NE,26,50,76,53,1009.6,1006.8,6,7,20.5,26.2,Yes
No,7.4,18.7,0,1.8,9.9,W,28,W,E,22,15,62,56,1031,1028.2,1,1,9.4,17.8,No
No,15.8,21.5,0.2,7.8,1.8,ESE,44,ESE,ESE,20,19,67,66,1017,1016.1,7,7,20.2,19.4,No
No,17.5,24.9,9.8,3.6,7.1,WSW,35,SW,E,20,17,82,71,1027.2,1025.3,3,6,20.3,23.4,Yes
Yes,7.7,14.6,0.2,2.6,2.3,S,48,S,SSW,33,22,77,99,1026.8,1025.6,3,7,13.9,12.4,No
No,15.7,23,0,5.4,11.4,E,31,WNW,E,7,22,55,40,1023.6,1022.1,5,1,18.2,21.9,No
No,16.4,22.9,0,3.6,10.4,ESE,24,ESE,SE,9,13,56,57,1026,1023.8,2,2,21.1,21.8,No
Yes,24.1,30.8,5.8,3,0.5,E,43,NE,NNE,15,15,84,94,1008.1,1005.9,7,8,27.6,26.3,Yes
No,20,26.3,0,10,12.9,ENE,41,NNE,ENE,17,31,53,50,1024.1,1022.8,3,1,25,25.1,No
No,20,31.1,0,10.4,3,SE,30,E,NW,7,6,31,31,1013.4,1012.7,7,6,23.1,29.3,No
No,19.3,24.5,0.2,3.4,5.3,W,26,WSW,ESE,11,9,77,76,1012.7,1011.9,6,7,22.8,23.5,No
No,16.2,20,0,6,5.5,ESE,37,SE,SE,22,17,78,72,1025,1023.4,7,7,17.9,18.4,No
Yes,7.8,14.2,8.8,7,7.9,W,69,W,W,26,35,64,65,1003.4,1006.1,7,3,10.2,12,Yes
No,15.2,24.7,0,10,9.8,SSW,43,WNW,ENE,15,19,38,36,1015.3,1011.4,0,0,18,23.3,No
No,-2.2,18.4,0,3.2,11.2,S,33,SSE,S,15,17,50,26,1023.2,1022.1,0,1,9.4,17.3,No
Yes,20.5,24.8,41.8,4.6,0,WSW,22,ESE,S,7,4,82,91,1005.4,1004.8,8,8,23.9,19.9,Yes
Yes,24,30.3,4.4,4,3.7,NNE,33,S,ENE,13,13,82,77,1012.5,1010.5,7,7,27.2,29.2,Yes
Yes,15.6,24.5,31.2,3.8,4,S,48,S,ESE,9,28,90,49,1023.6,1021.9,7,7,18.5,23.1,Yes
No,17,24.6,0,8,12.3,SSW,63,SSW,SSE,30,30,36,49,1013.5,1013.2,1,1,20.7,24,No
No,16.6,29.2,0,10.6,11.5,ENE,41,E,E,20,17,53,33,1024.1,1021.6,1,4,21.4,27.6,No
Yes,11.7,17.3,0,5.6,5.8,NW,44,NNW,W,11,11,63,48,1010.1,1008.1,4,8,13.7,16.4,No
No,13.8,28.5,0,4,10.7,NNE,30,NE,SSE,15,4,62,28,1021.9,1016.6,1,1,21.1,28.5,No
Yes,6.4,20,0,1.8,5.7,N,43,NNE,NNE,15,17,53,80,1016.3,1012.1,0,8,15.1,12.7,No
Yes,11.8,24.8,0,8.4,5.8,SW,43,W,W,11,24,57,44,1011.4,1010.7,7,6,20.4,23.2,No
Yes,-2.6,14.4,0,2.6,3.9,NW,52,ENE,NNW,4,31,74,58,1015.7,1011.3,7,8,6.3,10.8,No
No,2,17.7,0,2.6,6.4,SW,30,ENE,WSW,9,17,71,41,1021.9,1018.5,5,6,10.3,16.6,No
No,9.8,21.8,0,4.6,10.4,SSW,43,SSW,SW,22,28,56,28,1017.5,1016.3,0,0,16.4,21.4,No
No,20,40.5,0,10.6,12.7,W,31,ENE,W,11,9,33,13,1008.9,1005.4,0,1,28,38.2,No
No,14.7,19.5,0,4,9.7,W,65,NW,W,20,33,54,30,1010.9,1010.8,1,1,16,18.5,No
No,21.3,33.3,0,12.8,9.5,NE,63,WNW,NE,15,43,50,41,1006.4,999.4,0,5,27.3,31,No
Yes,23.9,30.8,13.4,5.4,8.7,NW,35,NE,N,9,15,69,78,1009.2,1005.9,3,7,28.5,27.9,Yes
Yes,6.9,16.5,0.4,3.4,3.9,SSE,33,S,N,22,15,87,91,1006.9,1007.8,8,7,11.1,13.1,No
No,18.9,29.8,0,9,7,NNW,35,NNE,WNW,20,22,64,38,1015.2,1012.3,8,5,21.3,28.6,No
Yes,8.8,16,0.6,2.4,3.4,NNW,63,NNW,N,28,30,71,52,1024.7,1020.6,7,7,12.1,13.9,No
Yes,6.1,17.1,0,3.2,5.8,N,52,N,NNW,28,26,59,41,1014.4,1010.7,3,7,10.5,15.4,No
Yes,23.4,41.5,1.2,11.8,10.5,S,57,NNW,NNE,13,13,36,19,1010,1006,4,4,32.2,39,Yes
Yes,4.6,17.8,0,3,0.1,NNE,28,NNE,NNE,11,9,52,43,1016.4,1015.1,7,8,11.8,17.7,No
Yes,17.9,20,31,11.8,0.3,SSE,61,SSW,SSE,17,35,93,83,1005.9,1006.3,8,8,18.3,18.4,Yes
Yes,12,28.5,0,5.4,1.1,W,61,N,NW,22,30,31,19,1014.5,1010.7,7,8,21.4,27.4,No
Yes,11.1,19.3,0.4,1.2,5.3,NW,44,N,WNW,20,28,74,49,1020.2,1017.2,7,6,14,18.9,No
Yes,4.5,11.5,0,1.8,0,N,65,N,N,31,28,69,81,1017.1,1014.4,7,8,9.1,9.6,No
